rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
121,Hebrew University of Jerusalem,50.4,47.7,56.4,48.4,25,53,"17,612",10.7,0.05,2012
122,University of York,50.4,36.7,38.8,71.6,33.9,72.7,,,,2012
123,Indiana University,50.2,46.8,34.5,73.7,-,37.7,"62,468",13.6,0.13,2012
124,Seoul National University,50.1,64.6,50.8,44,42.6,16.3,"26,389",13.9,0.10,2012
125,Aarhus University,50,30.7,49,64,67,69.3,"23,895",13.6,0.14,2012
126,University of Florida,50,46.7,59.9,50.9,-,25.9,"50,095",18.7,0.09,2012
127,Arizona State University,49.9,38.2,39,80.3,28.7,26.1,"83,236",29.9,0.09,2012
128,Queen Mary University of London,49.9,29,28.6,83.7,36.6,88.8,"14,260",14,0.40,2012
129,University of Southampton,49.9,35.6,35.5,72.5,39.3,78.3,"20,925",13.5,0.29,2012
130,University of Geneva,49.8,34.9,39,65.1,32.7,97.5,"15,668",15,0.39,2012
131,Lancaster University,49.7,32.6,35.7,75.4,27.5,78.6,"11,512",14.9,0.33,2012
132,Stockholm University,49.7,25,36,90.2,26.8,48.8,"31,715",23.7,0.08,2012
133,University of Leeds,49.5,44.6,43.9,57.1,36.4,64.8,"27,703",14.7,0.21,2012
134,University of Groningen,49.2,32.4,52.4,62.4,59.9,47.3,"24,556",25.6,0.12,2012
135,George Washington University,49,44.2,33.6,73.2,-,38.3,"20,541",12,0.16,2012
136,University of Copenhagen,49,37.8,31.6,72.1,37,74.8,"27,545",4.1,0.19,2012
137,University of Virginia,49,37,42.2,74.7,34.7,26.4,"23,845",10.2,0.12,2012
138,Georgetown University,48,52.5,40.4,57.7,-,29.1,"15,408",8.5,0.14,2012
139,University of Vienna,47.9,49.5,41.2,45.2,25.4,86.6,"34,651",20.5,0.25,2012
140,University of Nottingham,47.7,40.2,40,57.6,36.7,72.6,"30,144",15,0.27,2012
141,University of Iowa,47.6,47.7,42.1,61.3,-,21.9,"27,526",11.6,0.11,2012
142,École Normale Supérieure de Lyon,47.6,35.3,21.4,85.1,25.1,58.8,"2,218",8,0.14,2012
143,"University of California, Riverside",47.5,27.8,30.9,89.6,31,30,"20,626",22,0.12,2012
144,Rensselaer Polytechnic Institute,47.4,31.7,40.4,73.6,49,32.7,"6,671",15,0.16,2012
145,University of East Anglia,47.3,26.5,26.1,85.6,28,68.5,"14,992",14.7,0.28,2012
146,Newcastle University,47,34.2,28.4,72.2,32.3,76.2,"20,174",15.2,0.29,2012
147,William & Mary,47,40,18.9,90.7,27,19.7,"7,867",11.8,0.07,2012
148,University of Birmingham,46.9,42.6,42.6,50.6,36,70.3,"25,295",16.4,0.23,2012
149,"Birkbeck, University of London",46.8,25.9,25.8,80.8,25.1,85.3,"9,454",17.2,0.38,2012
150,Brandeis University,46.7,25.3,27.3,90.2,33.7,40.3,"5,495",12.6,0.22,2012
151,Chinese University of Hong Kong,46.6,47,50.2,37.8,36.4,69.5,"17,916",10.2,0.22,2012
152,Free University of Berlin,46.6,46.3,48.5,42.5,30.6,62.1,"33,062",39.3,0.20,2012
153,University of Aberdeen,46.6,30.6,32.2,67.7,44.4,84.8,"12,938",15.8,0.33,2012
154,National Taiwan University,46.2,47.8,58.5,39.2,40,20.7,"31,891",11.9,0.07,2012
155,Yeshiva University,46.2,43.6,27,75.3,-,26.4,"6,753",5.5,0.07,2012
156,University of Exeter,46.1,31.3,33.3,67.8,35.4,73.4,"17,755",18.8,0.28,2012
157,Erasmus University Rotterdam,46,28.8,27.2,77.4,45,65,"20,580",18.9,0.18,2012
158,University of Warwick,46,39.7,44.5,45,31.3,85.5,"18,529",16.6,0.37,2012
159,Radboud University Nijmegen,45.9,27.7,43.8,65.5,33.1,52.3,"17,713",13,0.10,2012
160,University College Dublin,45.9,25.2,23.7,80.5,32.3,83.2,"22,193",24.5,0.23,2012
161,VU University Amsterdam,45.9,30.4,35.3,70.2,63.2,48,"23,280",16.3,0.06,2012
162,Medical University of South Carolina,45.8,43.9,38.9,56.6,87.8,23.9,,,,2012
163,Wake Forest University,45.8,36.4,21.6,86.1,49.1,17.2,"7,326",4.6,0.05,2012
164,Texas A&M University,45.7,42.3,51.8,45.7,43.8,36,"50,657",21.4,0.09,2012
165,University of Reading,45.7,36.9,38.6,55.4,31.6,75.1,"12,050",14.8,0.28,2012
166,Tel Aviv University,45.4,47.3,60.7,33,35,30.1,"23,977",24.4,0.04,2012
167,University of Illinois at Chicago,45.2,53.3,43.9,43.3,38.6,27.2,"24,313",9.2,0.17,2012
168,RWTH Aachen University,45.1,36.1,25.1,67.2,61.8,67.1,"37,917",27.6,0.16,2012
169,Nanyang Technological University,45,41.4,47.8,34.5,44.4,89.8,"25,028",16.2,0.33,2012
170,Paris Diderot University – Paris 7,45,23.3,18.7,88.9,-,70.7,"27,756",14.8,0.17,2012
171,Université Catholique de Louvain,45,29.2,34.7,65.5,30.8,72.5,"28,856",42,0.19,2012
172,University of Miami,44.8,45.7,23.3,70.3,-,30.3,"15,286",5.7,0.14,2012
173,Queen’s University,44.6,39.7,36.1,49.3,87.5,65,"20,488",22.1,0.10,2012
174,University of Auckland,44.6,28.3,35,55.7,76.6,92.9,"29,787",18.9,0.28,2012
175,University of New South Wales,44.6,36.1,40.2,46.8,53.1,85.1,"38,309",25.9,0.33,2012
176,University of Dundee,44.5,20.8,20.1,87.1,55.3,62.5,"11,628",15.3,0.25,2012
177,University of Victoria,44.2,16.8,31.5,79.2,26.8,70.5,"17,581",21.5,0.11,2012
178,Technical University of Denmark,44.1,31.9,24.1,66.8,95.7,65.2,"9,990",5,0.18,2012
179,University of São Paulo,44.1,61.7,58,18.8,33.3,22.9,"81,402",14.6,0.04,2012
180,University of Delaware,43.8,26.4,37.2,66.7,98,29.8,"19,262",15.9,0.10,2012
181,Goethe University Frankfurt,43.6,30.5,21.7,75.1,42.4,57.6,"31,861",9.3,0.15,2012
182,University of Liverpool,43.6,34.8,33.5,55.6,37.1,73.1,"18,815",13.6,0.30,2012
183,University of Oslo,43.6,33.5,36.9,56.6,29,63.9,"27,139",18.8,0.18,2012
184,Iowa State University,43.4,32.8,30.1,70.4,49.2,28.3,"29,991",17.4,0.11,2012
185,University of Ottawa,43.2,38.9,34.8,54.8,36.9,49.6,"36,733",26.3,0.15,2012
186,Pompeu Fabra University,43.1,23.4,16.1,87.6,37.6,54.3,"10,901",18.3,0.13,2012
187,KTH Royal Institute of Technology,43,40.9,39.5,34.1,100,82.1,"12,062",14.6,0.21,2012
188,University of Tübingen,43,34.4,24.1,67.6,31,58.1,"28,327",38.9,0.12,2012
189,University of Freiburg,42.9,35.7,18.7,67.8,81.8,55.6,"26,467",31.2,0.16,2012
190,University of Western Australia,42.9,32.1,35.8,47.8,58.7,90,"20,851",20.7,0.27,2012
191,University of Bergen,42.8,29,26.6,65.2,42.1,73.5,"11,623",11.1,0.12,2012
192,University of Science and Technology of China,42.7,38.9,23.5,73.6,29.7,14.8,"14,290",7.9,0.02,2012
193,City University of Hong Kong,42.6,30.2,35,57.4,50.1,61.6,"10,015",7.1,0.28,2012
194,University of Konstanz,42.5,29,29.7,62.8,49.9,63.7,"10,930",59.1,0.12,2012
195,Boston College,42.4,26.5,18.9,83.5,24.2,41.4,"13,216",17.4,0.19,2012
196,Karlsruhe Institute of Technology,41.6,34.6,19.6,65.5,35.6,64.9,"25,294",24.6,0.16,2012
197,Georgia Health Sciences University,41.5,49,14.2,63.5,40.7,32.1,,,,2012
198,Maastricht University,41.5,30.6,30.5,53.9,-,86.4,"15,626",18.9,0.48,2012
199,University of Leicester,41.5,27.6,30.3,56.3,34.4,84.9,"14,541",13.4,0.35,2012
200,University of Twente,41.4,32.9,30.4,54.4,76.8,56.2,"6,631",12,0.26,2012
201,Autonomous University of Barcelona,-,33.7,27.9,57.9,37,45.9,"30,538",12.3,0.10,2012
202,Bilkent University,-,27.9,22.3,60.8,29.4,48.5,,,,2012
203,Cardiff University,-,28.9,34,51.7,35.5,67.8,"23,347",13.1,0.23,2012
204,Colorado School of Mines,-,24.6,22.8,63.7,99.4,38.4,"5,287",18.2,0.12,2012
205,Nagoya University,-,45.5,39.2,43.8,33.1,21.2,"15,529",7.9,0.10,2012
206,National Tsing Hua University,-,42.7,44.5,39.7,46.8,17.7,"10,221",13.5,0.05,2012
207,Northeastern University,-,30.4,18.9,70,31.1,38,"18,539",15.1,0.26,2012
208,Technion Israel Institute of Technology,-,38.7,45,34,33.6,48.9,"13,855",19.4,0.04,2012
209,Tulane University,-,28,34.1,58.8,-,29.8,"11,381",8.4,0.08,2012
210,Ulm University,-,40.8,18.8,46.7,69.8,50.8,"9,187",11.2,0.10,2012
211,Umeå University,-,20.8,29.2,59.4,26.3,52,"16,667",11.9,0.07,2012
212,University at Buffalo,-,44.3,35.6,42,40.9,49.2,"25,668",19,0.19,2012
213,University of Adelaide,-,32.2,33.4,43.8,50.7,81.7,"20,771",30.1,0.26,2012
214,University of Barcelona,-,24.5,22.2,71.9,29.5,44.1,"47,491",12.2,0.10,2012
215,University of Cincinnati,-,29,24.9,69,32.9,20.6,"36,108",15.7,0.06,2012
216,University of Essex,-,31.7,35.9,37,28.3,90.1,"12,695",19.8,0.39,2012
217,University of Georgia,-,44.4,36.4,37.3,27.7,30.6,"33,119",19.9,0.07,2012
218,University of Gothenburg,-,25.8,37.7,55.7,37.7,48.4,"26,420",16.4,0.12,2012
219,University of Innsbruck,-,23.1,13.8,65.7,32.8,90.7,"18,209",16.9,0.39,2012
220,University of Medicine and Dentistry of New Jersey,-,48.5,14.4,55.6,34.3,31,,,,2012
221,University of Otago,-,24.5,28,48,27.8,88.8,"18,600",20.3,0.21,2012
222,University of South Carolina,-,34.3,29.3,52.1,27.3,26,"29,336",16.3,0.01,2012
223,University of Strasbourg,-,26.7,17.3,70.3,32.1,70.4,"46,208",17.8,0.21,2012
224,University of Waterloo,-,35.8,44.2,32.5,32.7,62.1,"30,726",24.2,0.14,2012
225,University of Western Ontario,-,38.8,34.3,38.5,41.9,55.7,"27,387",20.7,0.16,2012
226,University of Würzburg,-,31.3,18,63,27.9,44,"26,576",38.4,0.08,2012
227,Université Libre de Bruxelles,-,23.6,25.9,53.5,52.8,80.4,"23,819",26.1,0.32,2012
228,Carleton University,-,17,24.2,61.6,-,58.6,"25,036",29.8,0.18,2012
229,Chalmers University of Technology,-,25.9,37.2,36.3,79.3,66,"8,605",11.6,0.15,2012
230,Colorado State University,-,26.9,32,51.2,-,25.5,"26,769",19,0.05,2012
231,Creighton University,-,43.6,10.5,55.7,24.2,25,"7,086",8.3,0.02,2012
232,Dalhousie University,-,25.5,30.7,43,72.5,64.8,"15,064",14.4,0.18,2012
233,Drexel University,-,36.9,12.2,59.4,29.9,37.8,"20,713",10.8,0.18,2012
234,Fudan University,-,42.4,26.2,42.9,40.5,36.1,"32,175",12.2,0.11,2012
235,Korea University,-,39.5,39.6,30.2,49.7,23.4,"24,043",15.8,0.14,2012
236,Macquarie University,-,21.3,23.2,46.5,42.3,93,"27,930",20,0.44,2012
237,National Chiao Tung University,-,36.4,44.5,25.1,100,24.2,"12,646",16.6,0.05,2012
238,Simon Fraser University,-,19.6,30,53,37.6,56.8,"26,640",28.3,0.19,2012
239,State University of New York Albany,-,25.7,30.8,53.5,92.9,25.9,"15,387",18.5,0.08,2012
240,Swedish University of Agricultural Sciences,-,28.9,22.2,49.8,100,43.5,"3,879",4.6,,2012
241,Tokyo Metropolitan University,-,19,10.3,84.3,27.6,17.8,"9,303",9.9,0.04,2012
242,University of Bologna,-,32.7,22,52.1,32.2,34.9,"85,532",22.9,0.07,2012
243,University of Calgary,-,34,34.4,39.7,39.5,42.7,"28,341",16.5,0.17,2012
244,University of Hamburg,-,35.2,21.3,50,27.4,56.3,,,,2012
245,University of Milan,-,37.1,24.3,51.3,35,34.3,"58,618",24.3,0.05,2012
246,University of Milan-Bicocca,-,22.5,12.3,78.3,35.6,33.2,"33,370",72.5,0.05,2012
247,University of Missouri,-,38.5,33.7,37.7,26.5,26.9,"29,885",14.1,0.05,2012
248,University of Padua,-,24.2,26,56.2,31.1,34.3,"62,577",18.3,0.04,2012
249,University of Trieste,-,16.7,12.9,76.9,31.3,45.5,"18,135",25.8,0.09,2012
250,Yonsei University,-,41.5,33.6,36.9,47.9,23.3,"24,774",11.6,0.14,2012
251,Bangor University,-,24.9,23.8,48,29,67.1,"9,567",19.5,0.22,2012
252,Bielefeld University,-,19.1,17,61.6,28.6,45.2,"21,428",67.8,0.08,2012
253,Brunel University London,-,17.4,20.3,51.7,30,89.9,"12,613",17.6,0.38,2012
254,Hong Kong Polytechnic University,-,30.1,37.3,22.2,72.8,62.5,"22,064",25.9,0.26,2012
255,Johannes Kepler University of Linz,-,18.4,11.1,62.8,73.4,56.6,"19,646",29.1,0.10,2012
256,Kyushu University,-,46.8,30.7,23.2,75.1,19.5,"18,925",6.7,0.08,2012
257,Nanjing University,-,40.9,24.2,42.3,42.9,25,"29,743",13.3,0.10,2012
258,National Sun Yat-Sen University,-,24.9,30.4,48.5,42.1,16,"9,336",19.6,0.04,2012
259,Norwegian University of Science and Technology,-,26.9,26.9,41.5,49.7,57.7,"17,381",13.9,0.09,2012
260,Queen’s University Belfast,-,26.5,21.3,42,41.9,89.5,"17,940",17.9,0.30,2012
261,Ruhr University Bochum,-,34.9,28.3,36,59.7,46.6,"38,675",46.3,0.13,2012
262,Stellenbosch University,-,25.4,30,36.6,99.6,44.4,"21,849",23,0.08,2012
263,Tilburg University,-,22.6,49.4,23.6,36,69.1,"7,576",22.4,0.10,2012
264,TU Dresden,-,27.3,13.8,57.4,31.9,49.2,"35,487",37.4,0.12,2012
265,University of Bath,-,25.2,23.2,39.9,38.9,80.6,"12,830",18.8,0.30,2012
266,University of Graz,-,24.9,14,55.1,25.5,63.8,"20,584",26.8,0.12,2012
267,University of Hawai’i at Mānoa,-,31.3,29.2,44.3,-,34.6,,,,2012
268,University of Kiel,-,29.3,20.9,52.1,33.6,47.3,"24,444",23.8,0.08,2012
269,University of Southern Denmark,-,19.7,12.4,58,67.9,73.7,"22,210",12.7,0.16,2012
